taxonomy_type,category,definition_or_rule,examples,sign_rule
outcome,crop_yield,Production or biomass output of crop or production system,"crop yield; productivity; root biomass; shoot biomass; system yield","invert harmful yield-loss variables"
outcome,financial_profitability,Economic return or cost/profit outcome,"gross margin; net return; benefit-cost ratio; gross income; production costs; net present value","invert cost variables"
outcome,biodiversity,Abundance richness diversity or community structure of organisms,"bird richness; arthropod richness; microbial diversity; Shannon index; species richness","usually positive is beneficial"
outcome,pollination,Pollinator abundance richness diversity or pollination service,"pollinator richness; pollinator diversity; bee pollination","usually positive is beneficial"
outcome,pest_control,Pest disease weed damage or natural enemy control,"pest damage; weed biomass; disease incidence; predator richness; pathogen control","invert pest damage infestation and weed burden variables"
outcome,water_regulation,Hydrology water retention runoff leaching or water-use outcomes,"soil moisture; infiltration rate; runoff; N leaching; water-use efficiency","invert runoff sediment and leaching losses when harmful"
outcome,soil_fertility,Soil health nutrient availability organic matter biology or structure,"SOC; available N; available P; soil C; soil pH; microbial biomass; aggregate stability","invert soil loss bulk density and harmful losses when appropriate"
outcome,nutrient_cycling,Nutrient pools fluxes uptake microbial cycling and use efficiency,"N use efficiency; nitrate N; plant P uptake; microbial biomass N; total N","invert leaching runoff and nutrient loss variables when harmful"
outcome,carbon_sequestration,Carbon stocks pools or sequestration outcomes,"SOC stocks; soil C; dissolved organic C; total C","usually positive is beneficial"
outcome,climate_regulation,Greenhouse gas climate or nitrogen-loss outcomes,"CH4 emission; CO2 emission; N2O emission; global warming potential; N2 fixation","invert emissions and global warming potential"
practice,non_crop_diversification,Aboveground living non-crop elements in or around farming systems,"hedgerow; buffer strip; grass cover; living mulch; agroforestry; livestock incorporation","code separately from crop diversification when possible"
practice,organic_amendment,Animal or plant derived material added to improve soil health,"manure; straw amendment; compost; biochar; organic fertilizer","record amendment type and rate if available"
practice,crop_diversification,Multiple crop species or varieties within a farming system,"crop rotation; cover cropping; intercropping; cultivar mixture; polyculture; catch cropping","record spatial vs temporal diversification"
practice,reduced_tillage,Lower soil disturbance by limiting mechanical tillage,"no tillage; direct seeding; minimum tillage; subsoiling tillage","separate from residue retention if possible"
practice,organic_farming,Production system governed by organic management rules,"organic farming; organic management","treat as bundled practice rather than single mechanism"
practice,inoculation,Beneficial microorganisms added to soil seeds or plants,"AMF inoculation; EMF inoculation; rhizobia co-inoculation","record organism group and host/crop context"
